generation,solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,s4_mult,s4_add,s5_mult,s5_add,s6_mult,s6_add,s7_mult,s7_add,s8_mult,s8_add,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,fp4_mult_pct,fp8_mult_pct,fp4_add_pct,fp8_add_pct
607,3,512,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0.076000,1991,78,13,4,627,9.7400,0.8012,42.729,1,2415,49104,77.8,22.2,55.6,44.4
607,4,512,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0.076000,1994,78,13,4,627,10.1600,0.8014,42.740,1,2415,49104,77.8,22.2,11.1,88.9
607,5,512,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,0.076000,1988,78,13,4,627,10.1100,0.8012,42.729,1,2415,49104,55.6,44.4,22.2,77.8
607,6,512,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0.076000,1991,78,13,4,627,2.3300,0.8012,42.729,1,2415,49104,0.0,100.0,11.1,88.9
607,7,512,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.076000,2001,78,13,4,627,12.2100,0.8012,42.729,1,2415,49104,22.2,77.8,33.3,66.7
607,8,512,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0.076000,1944,78,13,4,618,11.6300,0.8012,42.729,1,2415,49104,22.2,77.8,0.0,100.0
607,9,512,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0.076000,1944,78,13,4,618,12.4500,0.8012,42.729,1,2415,49104,22.2,77.8,0.0,100.0
607,10,512,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0.076000,1991,78,13,4,627,11.5500,0.8012,42.729,1,2415,49104,33.3,66.7,33.3,66.7
607,11,512,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0.075000,1396,63,9,4,621,9.3900,0.5525,29.467,1,2415,49104,100.0,0.0,22.2,77.8
607,12,512,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0.076000,1993,78,13,4,627,9.0400,0.8012,42.729,1,2415,49104,33.3,66.7,55.6,44.4
607,13,512,0,0,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0.076000,1991,78,13,4,627,9.4700,0.8012,42.729,1,2415,49104,44.4,55.6,44.4,55.6
607,14,512,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0.076000,1991,78,13,4,627,4.4200,0.8325,44.401,1,2415,49104,11.1,88.9,11.1,88.9
607,15,512,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.076000,1991,78,13,4,627,8.9000,0.8012,42.729,1,2415,49104,88.9,11.1,88.9,11.1
607,16,512,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0.076000,2001,78,13,4,627,11.8300,0.8012,42.729,1,2415,49104,44.4,55.6,33.3,66.7
607,17,512,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.076000,1944,78,13,4,618,13.9100,0.8012,42.729,1,2415,49104,11.1,88.9,0.0,100.0
607,18,512,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.076000,1991,78,13,4,627,8.9900,0.8325,44.401,1,2415,49104,88.9,11.1,88.9,11.1
607,19,512,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0.076000,1991,78,13,4,627,2.3800,0.8325,44.401,1,2415,49104,11.1,88.9,11.1,88.9
607,20,512,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0.076000,1991,78,13,4,627,9.0600,0.8012,42.729,1,2415,49104,88.9,11.1,22.2,77.8
607,21,512,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.076000,1991,78,13,4,627,8.9500,0.8012,42.729,1,2415,49104,88.9,11.1,77.8,22.2
607,22,512,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0.076000,1991,78,13,4,627,9.8200,0.8012,42.729,1,2415,49104,66.7,33.3,44.4,55.6
607,23,512,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.076000,1991,78,13,4,627,11.4400,0.8012,42.729,1,2415,49104,22.2,77.8,33.3,66.7
607,24,512,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0.076000,1988,78,13,4,627,9.8200,0.8012,42.729,1,2415,49104,66.7,33.3,44.4,55.6
607,25,512,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0.076000,1944,78,13,4,618,12.1000,0.8012,42.729,1,2415,49104,22.2,77.8,0.0,100.0
607,26,512,0,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0.076000,1991,78,13,4,627,9.8400,0.8012,42.729,1,2415,49104,44.4,55.6,22.2,77.8
607,27,512,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0.076000,1989,78,13,4,627,9.9600,0.8014,42.740,1,2415,49104,33.3,66.7,33.3,66.7
607,28,512,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.075000,1396,63,9,4,621,10.0000,0.5525,29.467,1,2415,49104,100.0,0.0,11.1,88.9
607,29,512,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0.076000,1991,78,13,4,627,5.2900,0.8012,42.729,1,2415,49104,11.1,88.9,11.1,88.9
608,0,512,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0.076000,1991,78,13,4,627,10.3200,0.8012,42.729,1,2415,49104,44.4,55.6,44.4,55.6
608,1,512,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0.076000,1988,78,13,4,627,9.6400,0.8012,42.729,1,2415,49104,22.2,77.8,44.4,55.6
608,2,512,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0.076000,1988,78,13,4,627,9.8600,0.8012,42.729,1,2415,49104,55.6,44.4,33.3,66.7
608,3,512,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.076000,1991,78,13,4,627,5.6700,0.8325,44.401,1,2415,49104,11.1,88.9,11.1,88.9
608,4,512,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0.076000,1991,78,13,4,627,9.4200,0.8012,42.729,1,2415,49104,22.2,77.8,33.3,66.7
608,6,512,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0.076000,1991,78,13,4,627,9.3000,0.8012,42.729,1,2415,49104,66.7,33.3,44.4,55.6
608,7,512,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0.076000,1944,78,13,4,618,13.8800,0.8012,42.729,1,2415,49104,22.2,77.8,0.0,100.0
608,8,512,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0.076000,1991,78,13,4,627,9.1500,0.8012,42.729,1,2415,49104,33.3,66.7,33.3,66.7
608,9,512,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0.076000,1991,78,13,4,627,9.2200,0.8012,42.729,1,2415,49104,88.9,11.1,77.8,22.2
608,10,512,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.076000,1991,78,13,4,627,8.9700,0.8012,42.729,1,2415,49104,88.9,11.1,88.9,11.1
608,11,512,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.076000,1991,78,13,4,627,8.9100,0.8012,42.729,1,2415,49104,88.9,11.1,77.8,22.2
